match_id,home_team_id,away_team_id,match_date,match_hour,home_score,away_score,league,match_week,match_city,match_saloon
1EA4373,91112,164390,2024-10-06,15:30:00,85,108,bsl-2024-2025,NS 01,İZMİR,Enka Spor Salonu
1EA4381,164389,164390,2024-10-13,18:00:00,57,67,bsl-2024-2025,NS 02,MERSİN,Servet Tazegül Spor Salonu
1EA4388,164383,164390,2024-10-19,20:30:00,74,67,bsl-2024-2025,NS 03,MANİSA,Muradiye Spor Salonu
1EA4395,22629,164390,2024-10-26,15:30:00,85,79,bsl-2024-2025,NS 04,İZMİR,Enka Spor Salonu
1EA4402,66253,164390,2024-11-03,18:00:00,75,66,bsl-2024-2025,NS 05,İSTANBUL,Ülker Spor ve Etkinlik Salonu
1EA4409,24242,164390,2024-11-09,18:00:00,75,68,bsl-2024-2025,NS 06,İZMİR,Enka Spor Salonu
1EA4416,24176,164390,2024-11-17,15:30:00,99,107,bsl-2024-2025,NS 07,BURSA,Tofaş Spor Salonu
1EA4423,66293,164390,2024-11-30,18:00:00,92,88,bsl-2024-2025,NS 08,İZMİR,Enka Spor Salonu
1EA4430,84187,164390,2024-12-07,15:30:00,85,95,bsl-2024-2025,NS 09,DENİZLİ,Pamukkale Üniversitesi Spor Salonu
1EA4442,164382,164390,2024-12-14,18:00:00,82,83,bsl-2024-2025,NS 10,İZMİR,Enka Spor Salonu
1EA4450,164376,164390,2024-12-21,18:00:00,80,88,bsl-2024-2025,NS 11,İSTANBUL,BJK Fibabanka Spor Kompleksi
1EA4459,23324,164390,2024-12-29,18:00:00,94,77,bsl-2024-2025,NS 12,İZMİR,Enka Spor Salonu
1EA4467,91111,164390,2025-01-04,13:00:00,72,67,bsl-2024-2025,NS 13,İSTANBUL,Gazanfer Bilge Spor Salonu
1EA4476,84186,164390,2025-01-11,13:00:00,65,93,bsl-2024-2025,NS 14,İZMİR,Enka Spor Salonu
1EA4484,164377,164390,2025-01-18,20:30:00,111,85,bsl-2024-2025,NS 15,BURSA,Tofaş Spor Salonu
1EA4493,91112,164390,2025-01-25,13:00:00,64,83,bsl-2024-2025,NS 16,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu
1EA4501,164389,164390,2025-02-01,18:00:00,85,77,bsl-2024-2025,NS 17,İZMİR,Enka Spor Salonu
1EA4508,164383,164390,2025-02-10,19:00:00,89,80,bsl-2024-2025,NS 18,İZMİR,Enka Spor Salonu
1EA4371,84186,164374,2024-10-06,18:00:00,59,100,bsl-2024-2025,NS 01,İSTANBUL,Basketbol Gelişim Merkezi
1EA4379,164377,164374,2024-10-12,20:30:00,99,78,bsl-2024-2025,NS 02,BURSA,Tofaş Spor Salonu
1EA4387,91112,164374,2024-10-21,19:00:00,72,95,bsl-2024-2025,NS 03,İSTANBUL,Basketbol Gelişim Merkezi
1EA4395,136697,164374,2024-10-26,15:30:00,85,79,bsl-2024-2025,NS 04,İZMİR,Enka Spor Salonu
1EA4403,164383,164374,2024-11-03,13:00:00,73,85,bsl-2024-2025,NS 05,İSTANBUL,Basketbol Gelişim Merkezi
1EA4411,164389,164374,2024-11-10,15:30:00,94,76,bsl-2024-2025,NS 06,MERSİN,Servet Tazegül Spor Salonu
1EA4418,66253,164374,2024-11-17,20:30:00,72,86,bsl-2024-2025,NS 07,İSTANBUL,Ülker Spor ve Etkinlik Salonu
1EA4425,24242,164374,2024-12-01,20:30:00,81,86,bsl-2024-2025,NS 08,İSTANBUL,Basketbol Gelişim Merkezi
1EA4432,24176,164374,2024-12-08,20:30:00,70,77,bsl-2024-2025,NS 09,BURSA,Tofaş Spor Salonu
1EA4439,66293,164374,2024-12-15,20:30:00,80,93,bsl-2024-2025,NS 10,İSTANBUL,Basketbol Gelişim Merkezi
1EA4446,84187,164374,2024-12-23,19:00:00,96,63,bsl-2024-2025,NS 11,DENİZLİ,Pamukkale Üniversitesi Spor Salonu
1EA4457,164382,164374,2024-12-29,15:30:00,96,99,bsl-2024-2025,NS 12,İSTANBUL,Basketbol Gelişim Merkezi
1EA4465,164376,164374,2025-01-05,18:00:00,70,87,bsl-2024-2025,NS 13,İSTANBUL,BJK Fibabanka Spor Kompleksi
1EA4474,23324,164374,2025-01-12,20:30:00,87,99,bsl-2024-2025,NS 14,İSTANBUL,Basketbol Gelişim Merkezi
1EA4482,91111,164374,2025-01-20,19:00:00,89,91,bsl-2024-2025,NS 15,İSTANBUL,Gazanfer Bilge Spor Salonu
1EA4491,84186,164374,2025-01-27,19:00:00,110,83,bsl-2024-2025,NS 16,YALOVA,90. Yıl Spor Salonu
1EA4499,164377,164374,2025-02-02,20:30:00,68,83,bsl-2024-2025,NS 17,İSTANBUL,Basketbol Gelişim Merkezi
1EA4507,91112,164374,2025-02-09,18:00:00,83,67,bsl-2024-2025,NS 18,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu
1EA4367,164382,164375,2024-10-06,13:00:00,68,82,bsl-2024-2025,NS 01,İSTANBUL,Sinan Erdem Spor Salonu
1EA4375,164376,164375,2024-10-11,20:30:00,78,82,bsl-2024-2025,NS 02,İSTANBUL,BJK Fibabanka Spor Kompleksi
1EA4383,23324,164375,2024-10-20,18:00:00,86,80,bsl-2024-2025,NS 03,İSTANBUL,Sinan Erdem Spor Salonu
