league,team_rank,team_name,team_matches_played,team_wins,team_losses,team_points_scored,team_points_conceded,team_home_points,team_home_goal_difference,team_total_goal_difference,team_total_points
bsl-2024-2025,1,FENERBAHÇE BEKO,18,17,1,1636,1455,0,0,181,35
bsl-2024-2025,2,ANADOLU EFES,18,14,4,1608,1403,0,0,205,32
bsl-2024-2025,3,BEŞİKTAŞ FIBABANKA,18,13,5,1600,1468,3,21,132,31
bsl-2024-2025,4,TOFAŞ,18,13,5,1565,1509,3,-21,56,31
bsl-2024-2025,5,GALATASARAY,18,11,7,1569,1498,2,19,71,29
bsl-2024-2025,6,MERSİN SPOR,18,11,7,1486,1521,1,-19,-35,29
bsl-2024-2025,7,BAHÇEŞEHİR KOLEJİ,18,10,8,1455,1412,0,0,43,28
bsl-2024-2025,8,TÜRK TELEKOM,18,8,10,1504,1501,2,22,3,26
bsl-2024-2025,9,KARŞIYAKA,18,8,10,1567,1564,1,-22,3,26
bsl-2024-2025,10,ALİAĞA PETKİMSPOR,18,7,11,1470,1477,4,31,-7,25
bsl-2024-2025,11,BURSASPOR YÖRSAN,18,7,11,1516,1619,3,-23,-103,25
bsl-2024-2025,12,ONVO BÜYÜKÇEKMECE BASKETBOL,18,7,11,1511,1528,2,-8,-17,25
bsl-2024-2025,13,DARÜŞŞAFAKA LASSA,18,6,12,1461,1577,0,0,-116,24
bsl-2024-2025,14,MANİSA BASKET,18,5,13,1533,1610,0,0,-77,23
bsl-2024-2025,15,SEMT77 YALOVASPOR,18,4,14,1411,1581,0,0,-170,22
bsl-2024-2025,16,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,18,3,15,1413,1582,0,0,-169,21
bsl-2023-2024,1,ANADOLU EFES,30,25,5,2613,2417,4,11,196,55
bsl-2023-2024,2,FENERBAHÇE BEKO,30,25,5,2773,2308,2,-11,465,55
bsl-2023-2024,3,BEŞİKTAŞ EMLAKJET,30,21,9,2462,2236,3,40,226,51
bsl-2023-2024,4,PINAR KARŞIYAKA,30,21,9,2691,2531,3,-40,160,51
bsl-2023-2024,5,GALATASARAY EKMAS,30,16,14,2544,2479,4,7,65,46
bsl-2023-2024,6,MANİSA BÜYÜKŞEHİR BELEDİYE SPOR,30,16,14,2468,2514,2,-7,-46,46
bsl-2023-2024,7,ALİAĞA PETKİMSPOR,30,15,15,2531,2471,0,0,60,45
bsl-2023-2024,8,TÜRK TELEKOM,30,14,16,2457,2441,4,38,16,44
bsl-2023-2024,9,BURSASPOR İNFO YATIRIM,30,14,16,2518,2574,2,-38,-56,44
bsl-2023-2024,10,ONVO BÜYÜKÇEKMECE BASKETBOL,30,13,17,2474,2467,4,23,7,43
bsl-2023-2024,11,TOFAŞ,30,13,17,2589,2633,2,-23,-44,43
bsl-2023-2024,12,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,30,12,18,2401,2556,7,8,-155,42
bsl-2023-2024,13,BAHÇEŞEHİR KOLEJİ,30,12,18,2590,2611,6,-4,-21,42
bsl-2023-2024,14,DARÜŞŞAFAKA LASSA,30,12,18,2411,2557,5,-4,-146,42
bsl-2023-2024,15,ÇAĞDAŞ BODRUM SPOR,30,8,22,2391,2585,0,0,-194,38
bsl-2023-2024,16,REEDER SAMSUNSPOR,30,3,27,2183,2716,0,0,-533,33
bsl-2022-2023,1,TÜRK TELEKOM,30,25,5,2631,2331,0,0,300,55
bsl-2022-2023,2,FENERBAHÇE BEKO,30,24,6,2596,2344,0,0,252,54
bsl-2022-2023,3,ANADOLU EFES,30,22,8,2653,2395,0,0,258,52
bsl-2022-2023,4,PINAR KARŞIYAKA,30,21,9,2676,2571,0,0,105,51
bsl-2022-2023,5,FRUTTİ EXTRA BURSASPOR,30,17,13,2507,2460,0,0,47,47
bsl-2022-2023,6,DARÜŞŞAFAKA LASSA,30,15,15,2487,2547,3,5,-60,45
bsl-2022-2023,7,TOFAŞ,30,15,15,2487,2454,3,-5,33,45
bsl-2022-2023,8,GALATASARAY NEF,30,14,16,2422,2441,0,0,-19,44
