team_id,team_url,team_name,league,team_city,team_year,saloon_name,saloon_capacity,saloon_address
164390,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164390,ALİAĞA PETKİMSPOR,bsl-2024-2025,İZMİR,1984,Enka Spor Salonu,2500 Kişi,"ATATÜRK MAH. GÜNEŞ SOK. NO:23 ALİAĞA / İZMİR

                        "
164374,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164374,ANADOLU EFES,bsl-2024-2025,İSTANBUL,1951,Sinan Erdem Spor Salonu,16000 Kişi,"ZUHURATBABA MAH. ATAKÖY BLV. NO:14 BAKIRKÖY / İSTANBUL

                        "
164375,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164375,BAHÇEŞEHİR KOLEJİ,bsl-2024-2025,İSTANBUL,2014,Sinan Erdem Spor Salonu,16000 Kişi,"ZUHURATBABA MAH. ATAKÖY BLV. NO:14 BAKIRKÖY / İSTANBUL

                        "
164376,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164376,BEŞİKTAŞ FIBABANKA,bsl-2024-2025,İSTANBUL,1903,BJK Emlakjet Spor Kompleksi,2890 Kişi,"YILDIRIM OĞUZ GÖKER CAD. GELİNCİK SOK. NO:2 AKATLAR-BEŞİKTAŞ / İSTANBUL

                        "
164377,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164377,BURSASPOR YÖRSAN,bsl-2024-2025,BURSA,2020,Tofaş Spor Salonu,5750 Kişi,"FETHİYE MAH. FETHİYE CAD. NO:1 NİLÜFER / BURSA

                        "
164379,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164379,DARÜŞŞAFAKA LASSA,bsl-2024-2025,İSTANBUL,1951,Darüşşafaka Ayhan Şahenk Spor Salonu,3509 Kişi,"DERBENT MEVKİİ, DARÜŞŞAFAKA TESİSLERİ MASLAK-SARIYER / İSTANBUL

                        "
164380,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164380,FENERBAHÇE BEKO,bsl-2024-2025,İSTANBUL,1907,Ülker Spor ve Etkinlik Salonu,12687 Kişi,"BARBAROS MAH. IHLAMUR SOK. BATI ATAŞAHİR-ATAŞEHİR / İSTANBUL

                        "
164381,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164381,GALATASARAY,bsl-2024-2025,İSTANBUL,1905,Sinan Erdem Spor Salonu,16000 Kişi,"ZUHURATBABA MAH. ATAKÖY BLV. NO:14 BAKIRKÖY / İSTANBUL

                        "
164382,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164382,KARŞIYAKA,bsl-2024-2025,İZMİR,1912,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,4800 Kişi,"Cafer Düdayev Cad. No:42 Mavişehir/İzmir

                        "
164383,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164383,MANİSA BASKET,bsl-2024-2025,MANİSA,2024,Muradiye Spor Salonu,3500 Kişi,"MURADİYE MAH. GENÇLİK SOK. NO:13 YUNUSEMRE-MURADİYE / MANİSA
                        "
164389,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164389,MERSİN SPOR,bsl-2024-2025,MERSİN,2023,Servet Tazegül Spor Salonu,6000 Kişi,"Afet Mh. 32.Cadde Yenişehir/Mersin

                        "
164378,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164378,ONVO BÜYÜKÇEKMECE BASKETBOL,bsl-2024-2025,İSTANBUL,2009,Gazanfer Bilge Spor Salonu,2500 Kişi,"19 MAYIS MAH. OKUL SOK. BÜYÜKÇEKMECE / İSTANBUL

                        "
164393,https://www.tbf.org.tr/ligler/bsl-2024-2025/takim-detay/164393,SEMT77 YALOVASPOR,bsl-2024-2025,YALOVA,1998,90. Yıl Spor Salonu,2000 Kişi,"BAHÇELİEVLER MAH. STADYUM CAD. NO:30 MERKEZ / YALOVA

                        "
